SMILES CID
CC(C)CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N 273262
CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N 4466134
CCCCCCCCC(=O)C1=CC=CC=C1 80108
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCCCN)N 151410
C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCCCN)N)O 7021820
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCCN=C(N)N)N 150964
C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCCN=C(N)N)N)O 7021456
CC(=C)C1CCC2(CCCC(=C)C2C1)C 519361
CC1=CCC2CC1C2(C)CCC=C(C)C 91753502
CC1=CCCC(=C)C2CC(C2CC1)(C)C 5281515
CC(CCC=C(C)C)C1CCC(=C)C=C1 519764
CC1=CCC(C=CCC(=CCC1)C)(C)C 5281520
CC(=CCCC(=CCCC(=C)C=C)C)C 5317319
CC(=CCCC(=CCC=C(C)C=C)C)C 5281516
CC1=CCC2C3C1C2(CCC3C(C)C)C 12303902
CC1CCC(C2C13C2C(=CC3)C)C(C)C 442359
CC(C)C(C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)O)N 235009
CCCCCCCCCCCCCC=C 25913
CCCCCCCCCCCCCCC=O 17697
CC(C)CCCCCCCCCCCC(=O)O 151014
CCCCCCCCCCCCCCC 12391
CCCCCCCCCCCCCCCO 12397
COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O 5280666
C1CC(N(C1)C(=O)C(CC2=CNC3=CC=CC=C32)N)C(=O)O 14409732
C1CC(NC1)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O 18218238
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)CCC(C(=O)O)N 3038501
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C(CCC(=O)O)N 100094
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CCC(=O)O)C(=O)O)N 3634442
CC(C)C(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N 19816756
CC(C)C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N 168182
C1C2C(C(S1)CCCCC(=O)NCCCCC(C(=O)O)N)NC(=O)N2 83814
CCCCCC=CCC=CCCCCCC(=O)O 13932172
CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C 23284
C(CCCCCCCC(=O)O)CCCCCCC(=O)O 10459
CC(C)CCCCCCCCCCCCC(=O)O 36247
CCCCCCCCCCCCCCC(C(=O)O)O 12575964
CCCCCCCCCCCCCCCC(=O)N 69421
CCCCCCCCCCCCCCCC 11006
CCCCCCCCCCCCCCCCO 2682
C(COCCOCCOCCOCCOCCOCCOCCO)O 78798
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CC2=CC=CC=C2 47579
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C(CC3=CN=CN3)N 7009650
CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N 329275
CC(C)CC(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N 323786
CCC(C)C(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N 19816755
CCC(C)C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N 9797038
CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1N)C 23535
CC(CCC=C(C)C)CCOC(=O)C1=CC=CC=C1N 109467
CCCCC=CCCCCCCCC(=O)OCC(CO)O 53480975
CCCCC=CCCCCCCCC(=O)OC(CO)CO 53480959
CCC(C)CCCCCCCCCCCCC(=O)O 22207
CCCCCCCCCCCCCC(=O)OCC(CO)O 10957631
CCCCCCCCCCCCCC(=O)OC(CO)CO 137938
CCCCCCCCCCCCCCCCC 12398
C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N 515709
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)N 3421919
C1=CC(=CC=C1CC(C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N)O 5057430
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC 1548943
CC1C(C(C(C(O1)OC2C(C(C(OC2OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O)O 170484
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(OC(C(C3O)O)O)CO)O)O)O)O)O)O)O 4120027
CCCCCC=CCC=CCCCCCCCC(=O)N 6435901
CCCCCCC=CCCCCCCCCCC(=O)O 5282761
CCCCCCC(CC=CCCCCCCCC(=O)O)O 5282942
C(CCCCCCCCC(=O)O)CCCCCCCC(=O)O 70095
CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)N 259327
CCCCCCCCCCCCCCCC(=O)NCC(=O)O 151008
CCCCCCCCCCCCCCCCCC=O 12533
CCCCCCCCC=CCCCCCCCCO 5284499
CCCCCCCCCCCCCCCC(=O)OCC 12366
CCCCCCC(CCCCCCCCCCC(=O)O)O 7789
CCCCCCCCCCCCCCCCC(C(=O)O)O 439887
CCCCCCCCC(CCCCCCCCC(=O)O)O 9561835
CCCCCCCCCCCCCCC(=O)OCC(CO)O 46879024
CCCCCCCCCCCCCCC(=O)OC(CO)CO 537297
CCCCCCCCCCCCCCCCCC(=O)N 31292
CCCCCCCCCCCCCCCC(=O)C(CO)N 439853
CCCCCCCCCCCCCCCCCC 11635
CCCCCCCCCCCCCCCCCCO 8221
CCCCCCCCCCCCCCC(C(C(CO)N)O)O 122121
CC1=C(C2=C(CCC(O2)(C)CCCC(C)C(=O)O)C(=C1O)C)C 53481524
CC12CCC3C(C1CCC2O)CC=C4C3(CCC(C4)O)C 10634
CC12CCC(CC1CCC3C2CCC4(C3CCC4OS(=O)(=O)O)C)OS(=O)(=O)O 56639109
CCCCCCC=CCCCCCCCC(=O)OCC(CO)O 53480976
CCCCCCC=CCCCCCCCC(=O)OC(CO)CO 53480960
CC(C)CCCCCCCCCCCCCCCC(=O)O 3083779
CCCCCCCCCCCCCCCCCCC(=O)O 12591
CCCCCCCCCCCCCCCCCC(=O)OC 8201
CCCCCCCCCCCCCCC=COCC(COP(=O)(O)O)O 52929772
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O 89566
CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O 56960317
CCCCCCCCCCCCCCCCCCC 12401
CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 9547070
C1=CC=C(C=C1)CC(C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O)N 134906
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)N 4427709
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CC3=CC=C(C=C3)O)C(=O)O)N 13783081
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C 9904001
CCCCCC=CCC(CCC=CC=CC(CCCC(=O)O)O)O 53481449
CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C 5280435
CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O 9972843
CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O 10380830
CCCCCCCCCCCCCCCCCCCC 8222
CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 52925150
CC12CCC(=O)CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C 44263345
CCC=CCC=CCC=CCC=CCCCCC(=O)OCC(CO)O 53480980
CCC=CCC=CCC=CCC=CCCCCC(=O)OC(CO)CO 53480962
CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(CO)O)O)C)O 160499
CCC=CCC=CCC=CCCCCCCCC(=O)OCC(CO)O 53480979
CCCCCC=CCC=CCC=CCCCCC(=O)OCC(CO)O 53480978
CCC=CCC=CCC=CCCCCCCCC(=O)OC(CO)CO 11674746
CCCCCC=CCC=CCC=CCCCCC(=O)OC(CO)CO 11646044
CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)C)OS(=O)(=O)O 5748360
CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)O)O 20835023
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O 89567
CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O 76041074
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 9547069
CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN 53480922
CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)O)O 12051354
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)O)N 318292
CCCC=CCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O 11824131
CCCCCC=CCC=CCCCCCCCCCCCC(=O)O 5312554
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(CO)O 53480988
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO 11660820
CCCCCCCCCCCCCCCCOC(=O)C1=CC=CC=C1 11551966
CCCCCC=CCC=CCC=CCCCCCCC(=O)OCC(CO)O 53480986
CCCCCCCCC=CCC=CCC=CCCCC(=O)OCC(CO)O 53480985
CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(CO)CO 53480967
CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(CO)CO 53480966
CCCCCC=CCC=CCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCCN 53480927
CCCCCC=CCC=CCCCCCCCCCC(=O)OCC(CO)O 53480983
CCCCCC=CCC=CCCCCCCCCCC(=O)OC(CO)CO 53480964
C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCCCCCCCCC(=O)O 566787
CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 52925130
CCCCCCCCC=CCCCCCCCCCC(=O)OCC(CO)O 53480982
CCCCCCCCC=CCCCCCCCCCC(=O)OC(CO)CO 53480963
CCCCCCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O 71464553
CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 53480949
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 9547071
CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN 53480924
CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN 53480925
CCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)O 53480981
CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)CO 537294
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O 9547068
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(=O)CC4C3(CCC(C4)O)C)C 53477693
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(=O)C4)C)O)O)C 5283956
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C 188292
CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(CC4C3(CCC(C4)O)C)O)C 94235
CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C 164853
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCCC4)C)O)O)C 164672
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C 5283853
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C 131750324
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)O 74819135
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)O 10029397
CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)O 45479454
CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C 15061532
CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OCC(CO)O 53480994
CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(CO)O 53480993
CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)CO 53480971
CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)CO 53480970
CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OCC(CO)O 53480992
CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)CO 53480969
CCCCCC=CCC=CCCCCCCCCCCCC(=O)OCC(CO)O 53480991
